timesteps,techs,parameters,value
2016-01-08 16:00:00,export_electricity,cost_flow_in,-0.004413521
2016-01-08 17:00:00,import_electricity,cost_flow_out,0.004413625
2016-01-08 17:00:00,export_electricity,cost_flow_in,-0.004413625
2016-01-08 18:00:00,import_electricity,cost_flow_out,0.004413662
2016-01-08 18:00:00,export_electricity,cost_flow_in,-0.004413662
2016-01-08 19:00:00,import_electricity,cost_flow_out,0.004413636
2016-01-08 19:00:00,export_electricity,cost_flow_in,-0.004413636
2016-01-08 20:00:00,import_electricity,cost_flow_out,0.004413582
2016-01-08 20:00:00,export_electricity,cost_flow_in,-0.004413582
2016-01-08 21:00:00,import_electricity,cost_flow_out,0.004413525
2016-01-08 21:00:00,export_electricity,cost_flow_in,-0.004413525
2016-01-08 22:00:00,import_electricity,cost_flow_out,0.004413436
2016-01-08 22:00:00,export_electricity,cost_flow_in,-0.004413436
2016-01-08 23:00:00,import_electricity,cost_flow_out,0.004413346
2016-01-08 23:00:00,export_electricity,cost_flow_in,-0.004413346
2016-01-09 00:00:00,import_electricity,cost_flow_out,0.004413223
2016-01-09 00:00:00,export_electricity,cost_flow_in,-0.004413223
2016-01-09 01:00:00,import_electricity,cost_flow_out,0.004413191
2016-01-09 01:00:00,export_electricity,cost_flow_in,-0.004413191
2016-01-09 02:00:00,import_electricity,cost_flow_out,0.004413178
2016-01-09 02:00:00,export_electricity,cost_flow_in,-0.004413178
2016-01-09 03:00:00,import_electricity,cost_flow_out,0.004413171
2016-01-09 03:00:00,export_electricity,cost_flow_in,-0.004413171
2016-01-09 04:00:00,import_electricity,cost_flow_out,0.004413166
2016-01-09 04:00:00,export_electricity,cost_flow_in,-0.004413166
2016-01-09 05:00:00,import_electricity,cost_flow_out,0.004413271
2016-01-09 05:00:00,export_electricity,cost_flow_in,-0.004413271
2016-01-09 06:00:00,import_electricity,cost_flow_out,0.004413361
2016-01-09 06:00:00,export_electricity,cost_flow_in,-0.004413361
2016-01-09 07:00:00,import_electricity,cost_flow_out,0.004413332
2016-01-09 07:00:00,export_electricity,cost_flow_in,-0.004413332
2016-01-09 08:00:00,import_electricity,cost_flow_out,0.004413307
2016-01-09 08:00:00,export_electricity,cost_flow_in,-0.004413307
2016-01-09 09:00:00,import_electricity,cost_flow_out,0.004413269
2016-01-09 09:00:00,export_electricity,cost_flow_in,-0.004413269
2016-01-09 10:00:00,import_electricity,cost_flow_out,0.004413087
2016-01-09 10:00:00,export_electricity,cost_flow_in,-0.004413087
2016-01-09 11:00:00,import_electricity,cost_flow_out,0.00441284
2016-01-09 11:00:00,export_electricity,cost_flow_in,-0.00441284
2016-01-09 12:00:00,import_electricity,cost_flow_out,0.004412292
2016-01-09 12:00:00,export_electricity,cost_flow_in,-0.004412292
2016-01-09 13:00:00,import_electricity,cost_flow_out,0.004411107
2016-01-09 13:00:00,export_electricity,cost_flow_in,-0.004411107
2016-01-09 14:00:00,import_electricity,cost_flow_out,0.004389783
2016-01-09 14:00:00,export_electricity,cost_flow_in,-0.004389783
2016-01-09 15:00:00,import_electricity,cost_flow_out,0.004408439
